Ticker,Year,Revenue_Growth,NetIncome_Growth,EBITDA_Growth,EBIT_Growth,FCF_Growth,Net_Margin,Operating_Margin,EBITDA_Margin,FCF_Margin,ROE,ROA,Incremental_Operating_Margin,Incremental_EBITDA_Margin,Incremental_Net_Margin,Incremental_FCF_Margin,FCF_Conversion,OCF_to_NetIncome,FCF_to_EBITDA,Debt_to_Equity,DebtToEBITDA,InterestCoverage,NetDebtToEBITDA,PE,EV_EBITDA,EV_Revenue,FCF_Yield,Earnings_Volatility,Company,Business_Model
AXP,2022,,,,,,0.1421,0.2336,0.2643,0.3637,0.3041,0.0329,,,,,2.5584,2.8053,1.3757,1.7774,3.1431,4.4691,0.7431,13.9997,8.2709,2.1864,0.1827,0.0715,American Express,Financial
AXP,2023,0.1448,0.1145,0.3606,0.4061,-0.1159,0.1384,0.2869,0.3142,0.2809,0.2985,0.0321,0.6552,0.6584,0.1124,-0.2911,2.0296,2.2163,0.8939,1.7521,2.5855,2.535,0.1383,15.7283,7.0656,2.2199,0.129,0.0715,American Express,Financial
AXP,2024,0.0898,0.2096,0.2004,0.218,-0.2858,0.1536,0.3207,0.3461,0.1841,0.3347,0.0373,0.6965,0.7011,0.323,-0.8938,1.1984,1.3871,0.5319,1.6881,2.2385,2.5627,0.4617,20.2408,9.4447,3.2685,0.0592,0.0715,American Express,Financial
AXP,2025,0.0952,0.0695,0.0431,0.0417,0.3183,0.15,0.305,0.3296,0.2216,0.3236,0.0361,0.1404,0.1565,0.1121,0.6152,1.4772,1.7011,0.6722,1.7255,2.4262,2.6754,0.4222,23.3017,11.0257,3.6339,0.0634,0.0715,American Express,Financial
MA,2022,,,,,,0.4466,0.5721,0.6058,0.4541,1.5767,0.2564,,,,,1.0169,1.1274,0.7496,2.2266,1.0409,27.0106,0.5207,32.788,24.6882,14.957,0.031,0.0179,Mastercard,Network
MA,2023,0.1287,0.1274,0.1453,0.15,0.0786,0.4461,0.5829,0.6148,0.434,1.6157,0.2637,0.6669,0.684,0.4422,0.2775,0.9729,1.0701,0.7059,2.2631,1.0163,25.4435,0.4597,35.064,25.9015,15.923,0.0277,0.0179,Mastercard,Network
MA,2024,0.1223,0.15,0.1163,0.116,0.2473,0.4571,0.5796,0.6115,0.4823,1.9852,0.2678,0.5529,0.5849,0.5471,0.8778,1.0553,1.1481,0.7888,2.8105,1.0582,25.274,0.568,37.027,28.2437,17.2709,0.0285,0.0179,Mastercard,Network
MA,2025,0.1642,0.1627,0.1993,0.1952,0.2096,0.4565,0.5951,0.63,0.5011,1.9346,0.2764,0.6892,0.7424,0.4529,0.6157,1.0979,1.179,0.7955,2.4557,0.9198,27.0277,0.4083,33.9893,25.0368,15.7722,0.0323,0.0179,Mastercard,Network
PYPL,2022,,,,,,0.0879,0.147,0.1948,0.1856,0.1193,0.0308,,,,,2.1112,2.4031,0.9526,0.5138,1.9431,13.3026,0.4926,33.2676,15.5037,3.0204,0.0635,0.3939,PayPal,Fintech
PYPL,2023,0.0819,0.7553,0.274,0.2226,-0.1737,0.1426,0.1661,0.2294,0.1417,0.2017,0.0517,0.3995,0.652,0.8109,-0.3937,0.9939,1.1406,0.6179,0.4596,1.4167,14.2478,0.0871,15.421,9.6739,2.2194,0.0644,0.3939,PayPal,Fintech
PYPL,2024,0.0681,-0.0233,-0.0051,0.1657,0.6036,0.1304,0.1812,0.2137,0.2128,0.2031,0.0527,0.4042,-0.0173,-0.0489,1.2572,1.6318,1.7965,0.9959,0.4839,1.4539,15.0864,0.4734,20.3293,12.8805,2.7525,0.0803,0.3939,PayPal,Fintech
PYPL,2025,0.0432,0.2619,0.1326,0.1098,-0.1778,0.1578,0.1928,0.232,0.1677,0.2583,0.0653,0.4604,0.6553,0.7898,-0.8749,1.0633,1.2261,0.723,0.493,1.2977,14.5034,0.2518,10.232,7.2092,1.6726,0.1039,0.3939,PayPal,Fintech
V,2022,,,,,,0.5103,0.6715,0.7009,0.61,0.4204,0.1749,,,,,1.1954,1.2602,0.8704,0.631,1.0929,36.5818,0.3291,24.1244,17.8945,12.5414,0.0495,0.077,Visa,Network
V,2023,0.1141,0.1548,0.1133,0.1141,0.1016,0.529,0.6715,0.7004,0.6032,0.446,0.1909,0.6719,0.6964,0.6928,0.5435,1.1403,1.2016,0.8612,0.5283,0.8948,34.0481,0.1826,26.5495,20.2346,14.1722,0.0429,0.077,Visa,Network
V,2024,0.1002,0.143,0.119,0.0971,-0.0509,0.5495,0.6696,0.7123,0.5203,0.5045,0.2089,0.6508,0.8313,0.7547,-0.3064,0.9468,1.0105,0.7305,0.5324,0.8142,37.5304,0.3463,27.2786,21.3912,15.2375,0.0347,0.077,Visa,Network
V,2025,0.1134,0.016,0.0854,0.1039,0.1543,0.5014,0.6639,0.6944,0.5394,0.5291,0.2013,0.6134,0.5363,0.0773,0.7079,1.0757,1.1496,0.7768,0.664,0.9062,45.0866,0.2883,32.7704,23.9529,16.6329,0.0328,0.077,Visa,Network
